date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:30:26	349/349	---MCZ	200	added ('OK')	text/plain	date:Tue,%2019%20May%202020%2020:30:25%20GMT	https://ementalhealthhelp.wordpress.com/robots.txt		(from )
22:30:26	51806/51806	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2020:30:26%20GMT	https://ementalhealthhelp.wordpress.com/	C:/My%20Web%20Sites/sajt/ementalhealthhelp.wordpress.com/index.html	(from )
22:30:26	2832/2832	---MCZ	200	added ('OK')	text/css	etag:W/%225dad8f47-eed%22	https://s1.wp.com/wp-content/themes/pub/varia/print.css?m=1571655471h&cssminify=yes	C:/My%20Web%20Sites/sajt/s1.wp.com/wp-content/themes/pub/varia/print9298.css	(from https://ementalhealthhelp.wordpress.com/)
22:30:26	76301/76301	---MCZ	200	added ('OK')	application/rss+xml	date:Tue,%2019%20May%202020%2020:30:26%20GMT	https://ementalhealthhelp.wordpress.com/feed/	C:/My%20Web%20Sites/sajt/ementalhealthhelp.wordpress.com/feed/index.html	(from https://ementalhealthhelp.wordpress.com/)
22:30:26	929/929	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22a56af3455690e0b4f672b50786cba738%22	https://ementalhealthhelp.wordpress.com/comments/feed/	C:/My%20Web%20Sites/sajt/ementalhealthhelp.wordpress.com/comments/feed/index.html	(from https://ementalhealthhelp.wordpress.com/)
22:30:26	910/910	---MCZ	200	added ('OK')	text/xml	date:Tue,%2019%20May%202020%2020:30:26%20GMT	https://ementalhealthhelp.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/sajt/ementalhealthhelp.wordpress.com/xmlrpc0db0.php	(from https://ementalhealthhelp.wordpress.com/)
22:30:27	122516/122516	---MCZ	200	added ('OK')	text/css	etag:W/%225e9a2223-1de94%22	https://s1.wp.com/_static/??/wp-content/themes/pub/hever/style.css,/wp-content/mu-plugins/actionbar/actionbar.css?m=1587159585j&cssminify=yes	C:/My%20Web%20Sites/sajt/s1.wp.com/_static/index3915.html	(from https://ementalhealthhelp.wordpress.com/)
22:30:27	1674/1674	---MCZ	200	added ('OK')	application/xml	date:Tue,%2019%20May%202020%2020:30:27%20GMT	https://ementalhealthhelp.wordpress.com/osd.xml	C:/My%20Web%20Sites/sajt/ementalhealthhelp.wordpress.com/osd.xml	(from https://ementalhealthhelp.wordpress.com/)
22:30:27	2385/2385	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Apr%202020%2020:24:49%20GMT	https://ementalhealthhelp.files.wordpress.com/2020/04/cropped-screen-shot-2017-08-09-at-12.32.42-pm-1.png?w=32	C:/My%20Web%20Sites/sajt/ementalhealthhelp.files.wordpress.com/2020/04/cropped-screen-shot-2017-08-09-at-12.32.42-pm-176ca.png	(from https://ementalhealthhelp.wordpress.com/)
22:30:27	49110/49110	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Apr%202020%2020:24:49%20GMT	https://ementalhealthhelp.files.wordpress.com/2020/04/cropped-screen-shot-2017-08-09-at-12.32.42-pm-1.png?w=192	C:/My%20Web%20Sites/sajt/ementalhealthhelp.files.wordpress.com/2020/04/cropped-screen-shot-2017-08-09-at-12.32.42-pm-19939.png	(from https://ementalhealthhelp.wordpress.com/)
22:30:28	43716/43716	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Apr%202020%2020:24:49%20GMT	https://ementalhealthhelp.files.wordpress.com/2020/04/cropped-screen-shot-2017-08-09-at-12.32.42-pm-1.png?w=180	C:/My%20Web%20Sites/sajt/ementalhealthhelp.files.wordpress.com/2020/04/cropped-screen-shot-2017-08-09-at-12.32.42-pm-1ad83.png	(from https://ementalhealthhelp.wordpress.com/)
22:30:28	67172/67172	---M--	200	added ('OK')	image/png	date:Fri,%2001%20May%202020%2009:22:08%20GMT	https://ementalhealthhelp.files.wordpress.com/2020/05/introduction-to-personality-psychology_page-1024x384-1.png	C:/My%20Web%20Sites/sajt/ementalhealthhelp.files.wordpress.com/2020/05/introduction-to-personality-psychology_page-1024x384-1.png	(from https://ementalhealthhelp.wordpress.com/)
22:30:28	38040/38040	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2020:30:28%20GMT	https://ementalhealthhelp.wordpress.com/covid-19/	C:/My%20Web%20Sites/sajt/ementalhealthhelp.wordpress.com/covid-19/index.html	(from https://ementalhealthhelp.wordpress.com/)
22:30:28	46568/46568	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2020:30:28%20GMT	https://ementalhealthhelp.wordpress.com/blog-2/	C:/My%20Web%20Sites/sajt/ementalhealthhelp.wordpress.com/blog-2/index.html	(from https://ementalhealthhelp.wordpress.com/)
22:30:28	43179/43179	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2020:30:28%20GMT	https://ementalhealthhelp.wordpress.com/e-health-2/	C:/My%20Web%20Sites/sajt/ementalhealthhelp.wordpress.com/e-health-2/index.html	(from https://ementalhealthhelp.wordpress.com/)
22:30:29	50447/50447	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2020:30:29%20GMT	https://ementalhealthhelp.wordpress.com/o-e-mentalnom-zdravlju/	C:/My%20Web%20Sites/sajt/ementalhealthhelp.wordpress.com/o-e-mentalnom-zdravlju/index.html	(from https://ementalhealthhelp.wordpress.com/)
22:30:29	66831/66831	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20May%202020%2019:55:38%20GMT	https://ementalhealthhelp.files.wordpress.com/2020/05/matt-flores-t3ju4zsixfa-unsplash.jpg?w=1024	C:/My%20Web%20Sites/sajt/ementalhealthhelp.files.wordpress.com/2020/05/matt-flores-t3ju4zsixfa-unsplash2dff.jpg	(from https://ementalhealthhelp.wordpress.com/)
22:30:29	61507/61507	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2020:30:29%20GMT	https://ementalhealthhelp.wordpress.com/2020/05/19/sizofrenija/	C:/My%20Web%20Sites/sajt/ementalhealthhelp.wordpress.com/2020/05/19/sizofrenija/index.html	(from https://ementalhealthhelp.wordpress.com/)
22:30:29	50474/50474	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2020:30:29%20GMT	https://ementalhealthhelp.wordpress.com/2020/05/19/licna-iskustva-part-3/	C:/My%20Web%20Sites/sajt/ementalhealthhelp.wordpress.com/2020/05/19/licna-iskustva-part-3/index.html	(from https://ementalhealthhelp.wordpress.com/)
22:30:29	53053/53053	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2020:30:29%20GMT	https://ementalhealthhelp.wordpress.com/2020/05/19/licna-iskustvapart-2/	C:/My%20Web%20Sites/sajt/ementalhealthhelp.wordpress.com/2020/05/19/licna-iskustvapart-2/index.html	(from https://ementalhealthhelp.wordpress.com/)
22:30:30	61635/61635	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20May%202020%2019:55:29%20GMT	https://ementalhealthhelp.files.wordpress.com/2020/05/fabrizio-verrecchia-7ieipcj7lp4-unsplash.jpg?w=1024	C:/My%20Web%20Sites/sajt/ementalhealthhelp.files.wordpress.com/2020/05/fabrizio-verrecchia-7ieipcj7lp4-unsplash2dff.jpg	(from https://ementalhealthhelp.wordpress.com/)
22:30:31	33804/33804	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20May%202020%2019:55:44%20GMT	https://ementalhealthhelp.files.wordpress.com/2020/05/lesly-juarez-dftjxyd5pto-unsplash.jpg?w=1024	C:/My%20Web%20Sites/sajt/ementalhealthhelp.files.wordpress.com/2020/05/lesly-juarez-dftjxyd5pto-unsplash2dff.jpg	(from https://ementalhealthhelp.wordpress.com/)
22:30:31	45540/45540	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20May%202020%2019:55:41%20GMT	https://ementalhealthhelp.files.wordpress.com/2020/05/jeremy-perkins-7fosjvtutac-unsplash.jpg?w=1024	C:/My%20Web%20Sites/sajt/ementalhealthhelp.files.wordpress.com/2020/05/jeremy-perkins-7fosjvtutac-unsplash2dff.jpg	(from https://ementalhealthhelp.wordpress.com/)
22:30:32	46157/46157	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20May%202020%2019:22:25%20GMT	https://ementalhealthhelp.files.wordpress.com/2020/05/tim-goedhart-vnptrdmtq30-unsplash.jpg?w=750	C:/My%20Web%20Sites/sajt/ementalhealthhelp.files.wordpress.com/2020/05/tim-goedhart-vnptrdmtq30-unsplash0353.jpg	(from https://ementalhealthhelp.wordpress.com/)
22:30:32	68268/68268	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20May%202020%2018:46:05%20GMT	https://ementalhealthhelp.files.wordpress.com/2020/05/friends-happy-190821-800x450-1.jpg?w=800	C:/My%20Web%20Sites/sajt/ementalhealthhelp.files.wordpress.com/2020/05/friends-happy-190821-800x450-175cc.jpg	(from https://ementalhealthhelp.wordpress.com/)
22:30:33	75204/75204	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20May%202020%2018:46:13%20GMT	https://ementalhealthhelp.files.wordpress.com/2020/05/perry-grone-lblgffladry-unsplash-1.jpg?w=1024	C:/My%20Web%20Sites/sajt/ementalhealthhelp.files.wordpress.com/2020/05/perry-grone-lblgffladry-unsplash-12dff.jpg	(from https://ementalhealthhelp.wordpress.com/)
22:30:36	24042/24042	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e8609cc-5dea%22	http://0.gravatar.com/js/gprofiles.js?ver=202021y	C:/My%20Web%20Sites/sajt/0.gravatar.com/js/gprofiles1baf.js	(from https://ementalhealthhelp.wordpress.com/)
22:30:36	92376/92376	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20May%202020%2018:46:09%20GMT	https://ementalhealthhelp.files.wordpress.com/2020/05/felix-rostig-umv2wr-vbq8-unsplash.jpg?w=1024	C:/My%20Web%20Sites/sajt/ementalhealthhelp.files.wordpress.com/2020/05/felix-rostig-umv2wr-vbq8-unsplash2dff.jpg	(from https://ementalhealthhelp.wordpress.com/)
22:30:36	582/582	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225c066ea7-2f0%22	https://s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1380573781h	C:/My%20Web%20Sites/sajt/s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgrohoc3b6.js	(from https://ementalhealthhelp.wordpress.com/)
